Index,Actual Fair Difference,Influence Fair Difference
145,-5.742824459864515e-06,-5.745042106975082e-06
146,-1.5424401735686377e-05,-1.5098043621929331e-05
147,-1.5448492617919918e-06,-1.5612554182027706e-06
148,-2.3250421588016934e-08,-4.279378202068692e-08
149,3.0655759549746975e-06,3.030287514287731e-06
150,-2.678526028146444e-05,-2.6541432928716855e-05
151,1.3405436122271297e-08,-2.632870800511464e-10
152,1.2199795215717124e-07,9.777717595472775e-08
153,2.202581906829426e-05,2.1943776975535244e-05
154,3.141792876942828e-05,3.1161912550542125e-05
155,2.0379980647522444e-08,-4.652585135953439e-09
156,5.668156930177526e-06,5.646808216422417e-06
157,-2.965542487132211e-07,-3.2535556874357567e-07
158,-1.664747620439e-05,-1.660604949238729e-05
159,-6.363361322314631e-06,-6.3079122914154874e-06
160,3.2891225760722786e-05,3.2829429780120814e-05
161,-1.2576061252156379e-05,-1.2571074129849627e-05
162,-1.7403313832403677e-05,-1.7359918752546543e-05
163,2.422460956075234e-05,2.4166939283792406e-05
164,-1.1780890401269506e-06,-1.2013253135269355e-06
165,2.4060344520793198e-05,2.3971063699442678e-05
166,-6.654898461744274e-07,-6.750962835872127e-07
167,-6.292351952169595e-05,-6.220977615001389e-05
168,1.9790225149751706e-06,1.9428481073428615e-06
169,2.3918500368647067e-06,2.3819115723731943e-06
170,-1.9128676365109953e-08,-3.271775493951977e-08
171,-1.6659710848798692e-05,-1.6634552399285186e-05
172,-7.567831250870904e-05,-7.55119673137777e-05
173,-1.3384812739603014e-05,-1.3311506900967868e-05
174,-4.0660141797932425e-07,-4.1279330006695577e-07
175,1.4574561403302155e-06,1.443184261145543e-06
176,0.00011611199363592561,0.00010946654484955072
177,1.3820885409493444e-05,1.3351329207940098e-05
178,-5.105922225190351e-06,-5.092455300685335e-06
179,6.582162594970242e-07,2.027547166472014e-07
180,-1.8088738623689427e-05,-1.805603191941713e-05
181,-7.632930384138259e-07,-7.703219525519219e-07
182,-1.1000293455631915e-05,-1.0989288435650413e-05
183,-3.563046058618902e-05,-3.516439784495085e-05
184,2.812895116832692e-08,1.7035075398280215e-09
185,-2.796250281350554e-06,-2.801257235244906e-06
186,-1.9181858196826163e-06,-1.936323011401198e-06
187,1.240086410522756e-05,1.2214004096056626e-05
188,2.359139814805955e-06,2.346037859029168e-06
189,2.8246188340519396e-06,2.803592825034632e-06
190,-1.057851840621793e-05,-1.0571395381011144e-05
191,-7.475333146497731e-05,-7.435751126350928e-05
192,1.5080560308855517e-07,1.215416359986598e-07
193,4.601750089650025e-06,4.582634278155976e-06
194,9.001120737650581e-09,7.200839459210332e-10
195,-9.044770382249379e-05,-9.012806266396977e-05
196,-1.588602153923535e-05,-1.588557602770567e-05
197,4.082531899690656e-05,3.96365109023837e-05
198,-4.4014771671818664e-07,-4.2909280079482864e-07
199,-6.919128029969634e-07,-6.994825678352536e-07
200,1.4297496224613404e-05,1.422266132538765e-05
201,5.06828400359538e-08,2.175928161578609e-09
202,-1.1568512728876712e-06,-1.1641827073855686e-06
203,-1.3141469229482894e-07,-1.4193884625355254e-07
204,-5.185773082228007e-06,-5.186660275249854e-06
205,1.912027153272433e-08,-2.968256572762001e-09
206,1.1388587969562991e-05,1.1313451483813548e-05
207,-1.6493672357897893e-05,-1.6415008219627813e-05
208,1.7661668849644485e-08,-1.907165349095887e-10
209,2.091271368298564e-07,1.9632701336615792e-07
210,-1.150400039576227e-05,-1.1490339497044708e-05
211,5.543493083293161e-06,5.528361711471639e-06
212,2.4225563200030997e-05,2.4155001253742727e-05
213,1.377100478358595e-05,1.3724039894344951e-05
214,-2.5358082665905e-06,-2.5475723806773707e-06
215,-2.0519305873101246e-05,-2.04999026148728e-05
216,1.3859096370527624e-08,2.8934661766678715e-09
217,3.890432156877788e-05,3.879866351864503e-05
218,3.2604368588318167e-07,2.9830339625235547e-07
219,4.248508747195512e-06,4.200350400108145e-06
220,-9.117632205235537e-06,-9.106196185904403e-06
221,-5.856009950455654e-06,-5.848159636838774e-06
222,-1.8673018520320994e-07,-2.0558620837082725e-07
223,-5.413446052537907e-08,-8.255499561085203e-08
224,1.196364579067466e-05,1.1882594140967035e-05
225,-1.908549790430314e-08,-2.7596778466208335e-08
226,1.6465053986891576e-08,-1.142444927048308e-08
227,-9.820677504657205e-06,-9.805073243121036e-06
228,1.6662638713249578e-08,5.013029474319401e-09
229,1.0417891332936691e-07,5.804246207660985e-08
230,-6.874405897860925e-07,-6.896224628463e-07
